iteration,revision,timer_mode,workload,vcpu_pcpu,clock_hz,sleep_100ms_returned,sleep_elapsed_ms,callbacks,expected_callbacks,p50_us,p95_us,p99_us,p99_9_us,max_us,miss_gt100us,miss_gt500us,miss_gt1ms,timeout_s,evidence,phase_min_ns,phase_avg_ns,phase_p50_ns,phase_p95_ns,phase_p99_ns,phase_p99_9_ns,phase_max_ns,interval_min_ns,interval_avg_abs_ns,interval_max_abs_ns,qemu_config,network_validation,p99_99_ns,callback_duration_max_ns,tick_gap_min,tick_gap_max,candidate_decision
11,precision-tick1k-r1,passthrough,three_guest_network_precision_tick1k,2,62500000,NA,NA,9999,9999,0,0,0,0,1203,4,2,2,60,/tmp/axvisor-three-guest-rtbench-precise-r1.log,-194944,-190000,0,0,0,0,1203232,-997296,1856,1391136,default,pass,NA,,NA,,
12,tcg-multi-r1,passthrough,three_guest_network_precision_tick1k,2,62500000,NA,NA,9999,9999,0,0,0,0,344,1,0,0,60,/tmp/axvisor-three-guest-rtbench-precise-tcg-multi-r1.log,-186896,-182800,0,0,0,0,344848,-524656,1312,529104,tcg_multi,rejected,NA,,NA,,
13,tcg-multi-r2,passthrough,three_guest_network_precision_tick1k,2,62500000,NA,NA,9999,9999,0,0,0,0,2339,6,3,2,60,/tmp/axvisor-three-guest-rtbench-precise-tcg-multi-r2.log,-182976,-178400,0,0,0,0,2339760,-998480,1904,2511552,tcg_multi,rejected,NA,,NA,,
14,tcg-multi-r3,passthrough,three_guest_network_precision_tick1k,2,62500000,NA,NA,9999,9999,0,0,0,0,567,1,1,0,60,/tmp/axvisor-three-guest-rtbench-precise-tcg-multi-r3.log,-180272,-175968,0,0,0,0,567776,-700624,1056,746128,tcg_multi,rejected,NA,,NA,,
15,tcg-single-r1,passthrough,three_guest_network_precision_tick1k,2,62500000,NA,NA,9999,9999,0,199,2251,5000,9325,532,316,268,60,/tmp/axvisor-three-guest-rtbench-precise-tcg-single-r1.log,-183392,-91952,0,199680,2251120,6331200,9325936,-999280,76048,9017088,tcg_single,rejected,NA,,NA,,
16,tcg-single-r2,passthrough,three_guest_network_precision_tick1k,2,62500000,NA,NA,9999,9999,0,0,0,4036,7043,48,37,29,60,/tmp/axvisor-three-guest-rtbench-precise-tcg-single-r2.log,-2160480,-2094336,0,0,0,4036608,7043824,-999296,66224,9175696,tcg_single,rejected,NA,,NA,,
17,tcg-single-r3,passthrough,three_guest_network_precision_tick1k,2,62500000,NA,NA,9999,9999,0,0,1876,5000,9745,407,351,199,60,/tmp/axvisor-three-guest-rtbench-precise-tcg-single-r3.log,-185328,-105728,0,0,1876144,6742608,9745072,-999280,71312,9007232,tcg_single,rejected,NA,,NA,,
18,tick10k-r1,passthrough,three_guest_network_tick10k,2,62500000,NA,NA,9999,9999,0,0,0,0,962,2,1,0,60,/tmp/axvisor-three-guest-rtbench-tick10k-r1.log,-473360,-469488,0,0,0,0,962912,-959840,1600,1412672,default,pass,NA,,NA,,
19,tick10k-r2,passthrough,three_guest_network_tick10k,2,62500000,NA,NA,9999,9999,0,0,0,0,77,0,0,0,60,/tmp/axvisor-three-guest-rtbench-tick10k-r2.log,-196704,-193856,0,0,0,0,77120,-270560,1008,270560,default,pass,NA,,NA,,
20,tick10k-r3,passthrough,three_guest_network_tick10k,2,62500000,NA,NA,9999,9999,0,0,0,0,331,1,0,0,60,/tmp/axvisor-three-guest-rtbench-tick10k-r3.log,-462656,-459600,0,0,0,0,331584,-782752,1184,782752,default,pass,NA,,NA,,
21,tick10k-final-smoke,passthrough,three_guest_network_tick10k,2,62500000,NA,NA,9999,9999,0,0,0,0,99,0,0,0,60,/tmp/axvisor-three-guest-rtbench-final-r1.log,-256064,-252512,0,0,0,0,99616,-332992,1040,353504,default,pass,NA,,NA,,
22,tick10k-raw-threshold-r1,passthrough,three_guest_network_tick10k_corrected,2,62500000,NA,NA,9999,9999,0,0,0,0,3563,6,5,3,70,/tmp/axvisor-three-guest-rtbench-final-corrected-r1.log,-200240,-194912,0,0,0,0,3563584,-998720,2256,3739424,default,pass,NA,,NA,,
23,tick10k-raw-threshold-r2,passthrough,three_guest_network_tick10k_corrected,2,62500000,NA,NA,9999,9999,0,0,0,0,297,2,0,0,70,/tmp/axvisor-three-guest-rtbench-final-corrected-r2.log,-222016,-217712,0,0,0,0,297424,-515056,1136,515456,default,pass,NA,,NA,,
24,tick10k-raw-threshold-r3,passthrough,three_guest_network_tick10k_corrected,2,62500000,NA,NA,9999,9999,0,0,0,0,629,2,1,0,70,/tmp/axvisor-three-guest-rtbench-final-corrected-r3.log,-181728,-177200,0,0,0,0,629424,-808080,1504,808080,default,pass,NA,,NA,,
25,no-poll-diagnostic-r1,passthrough,three_guest_network_tick10k_no_poll_diagnostic,2,62500000,NA,NA,9999,9999,0,0,0,0,423,1,0,0,70,/tmp/axvisor-three-guest-rtbench-no-poll.log,-189280,-185616,0,0,0,0,423264,-606688,1136,608768,default,pass,NA,,NA,,
26,no-poll-diagnostic-r2,passthrough,three_guest_network_tick10k_no_poll_diagnostic,2,62500000,NA,NA,9999,9999,0,0,0,0,29,0,0,0,70,/tmp/axvisor-three-guest-rtbench-no-poll-r2.log,-202832,-198672,0,0,0,0,29264,-226576,1360,226576,default,pass,NA,,NA,,
27,no-poll-diagnostic-r3,passthrough,three_guest_network_tick10k_no_poll_diagnostic,2,62500000,NA,NA,9999,9999,0,0,0,0,133,1,0,0,70,/tmp/axvisor-three-guest-rtbench-no-poll-r3.log,-263936,-261088,0,0,0,0,133744,-383728,912,388432,default,pass,NA,,NA,,
28,no-poll-formal-r1,passthrough,three_guest_network_tick10k_no_poll_formal,2,62500000,NA,NA,9999,9999,0,0,0,0,515,1,1,0,70,/tmp/axvisor-three-guest-rtbench-formal-no-poll-r1.log,-350912,-347136,0,0,0,0,515328,-863296,1344,863296,default,pass,NA,,NA,,
29,no-poll-formal-r2,passthrough,three_guest_network_tick10k_no_poll_formal,2,62500000,NA,NA,9999,9999,0,0,0,0,307,1,0,0,70,/tmp/axvisor-three-guest-rtbench-formal-no-poll-r2.log,-202112,-197920,0,0,0,0,307664,-460560,1088,505008,default,pass,NA,,NA,,
30,no-poll-formal-r3,passthrough,three_guest_network_tick10k_no_poll_formal,2,62500000,NA,NA,9999,9999,0,0,0,0,84,0,0,0,70,/tmp/axvisor-three-guest-rtbench-formal-no-poll-r3.log;/tmp/axvisor-net0.pcap,-182720,-179024,0,0,0,0,84352,-237248,1056,237248,default,pass,NA,,NA,,
31,irq-dispatch-once-old-workload-r2,passthrough,three_guest_network_tick10k_corrected,2,62500000,NA,NA,9999,9999,0,0,0,0,2814,4,3,2,70,/tmp/axvisor-rtbench-irqfix-r2.log,-200176,-194144,0,0,0,0,2814176,-997872,2672,3003280,default,pass_after_retry,NA,,NA,,
32,semaphore-workload-r1,passthrough,three_guest_network_tick10k_no_poll_semaphore,2,62500000,NA,NA,9999,9999,0,0,0,0,92,0,0,0,70,/tmp/axvisor-rtbench-semaphore-r1.log,-429136,-425280,0,0,0,0,92432,-517200,1072,517200,default,pass,NA,,NA,,
33,semaphore-workload-r2,passthrough,three_guest_network_tick10k_no_poll_semaphore,2,62500000,NA,NA,9999,9999,0,0,0,0,352,2,0,0,70,/tmp/axvisor-rtbench-semaphore-r2.log,-186688,-183072,0,0,0,0,352720,-538496,960,538496,default,pass,NA,,NA,,
34,semaphore-workload-r3,passthrough,three_guest_network_tick10k_no_poll_semaphore,2,62500000,NA,NA,9999,9999,0,0,0,0,576,1,1,0,70,/tmp/axvisor-rtbench-semaphore-r3.log,-189440,-185120,0,0,0,0,576336,-765776,1184,765776,default,pass,NA,,NA,,
35,host-pinned-tcg-multi-r1,passthrough,three_guest_network_tick10k_host_pinned_tcg_multi,2,62500000,NA,NA,9999,9999,0,0,0,714,4693,18,14,8,70,/tmp/axvisor-rtbench-pinned-tcg-multi-r1.log,-188528,-181456,0,0,0,714448,4693664,-998752,3984,4872944,tcg_multi_pinned,rejected,NA,,NA,,
36,measurement-boundary-r1,passthrough,three_guest_network_tick10k_no_poll_measurement,2,62500000,NA,NA,9999,9999,0,0,0,0,449,2,0,0,70,/tmp/axvisor-rtbench-metrics-r1.log,-179952,-176224,0,0,0,0,449680,-627104,1120,627104,default,pass_after_retry,405840,267648,0,0,
37,measurement-boundary-r2,passthrough,three_guest_network_tick10k_no_poll_measurement,2,62500000,NA,NA,9999,9999,0,0,0,0,1081,3,1,1,70,/tmp/axvisor-rtbench-metrics-r2.log,-188656,-185152,0,0,0,0,1081728,-962320,1040,1267200,default,pass,219168,70368,0,0,
38,measurement-boundary-r3,passthrough,three_guest_network_tick10k_no_poll_measurement,2,62500000,NA,NA,9999,9999,0,0,0,0,62,0,0,0,70,/tmp/axvisor-rtbench-metrics-r3.log,-360144,-355808,0,0,0,0,62368,-420912,992,420912,default,pass_after_retry,0,51392,0,0,
39,host-pinned-tcg-multi-8cpu-r1,passthrough,three_guest_network_tick10k_host_pinned_tcg_multi,2,62500000,NA,NA,9999,9999,0,0,0,0,362,1,0,0,70,/tmp/axvisor-rtbench-metrics-tcg-multi-8cpu-r2.log,-205744,-201872,0,0,0,0,362064,-565520,960,565520,tcg_multi_pinned_8cpu,rejected,0,55584,0,0,
40,spi-route-placement-r1,passthrough,three_guest_network_tick10k_no_poll_measurement,2,62500000,NA,NA,9999,9999,0,0,0,0,5954,8,6,6,70,/tmp/axvisor-rtbench-spiroute-r1.log,-187856,-182032,0,0,0,0,5954480,-997296,2288,6139856,default,pass_after_retry,5023760,62016,0,0,
41,entry-cache-candidate-r1,passthrough,three_guest_network_tick10k_no_poll_entry_cache,2,62500000,NA,NA,9999,9999,0,0,0,0,251,1,0,0,70,/tmp/axvisor-rtbench-entry-cache-r1.log,-419088,-414800,0,0,0,0,251104,-627792,1216,627792,default,pass,6880,50624,0,0,
42,entry-cache-candidate-r2,passthrough,three_guest_network_tick10k_no_poll_entry_cache,2,62500000,NA,NA,9999,9999,0,0,0,0,664,2,1,0,70,/tmp/axvisor-rtbench-entry-cache-r2.log,-307376,-303520,0,0,0,0,664288,-861344,1296,967296,default,pass,420880,116160,0,0,
43,entry-cache-candidate-r3,passthrough,three_guest_network_tick10k_no_poll_entry_cache,2,62500000,NA,NA,9999,9999,0,0,0,0,1697,3,3,1,70,/tmp/axvisor-rtbench-entry-cache-r3.log,-190064,-186064,0,0,0,0,1697744,-970928,1520,1868192,default,pass,726816,50848,0,0,
44,entry-cache-reverted-final-r1,passthrough,three_guest_network_tick10k_no_poll_reverted_final,2,62500000,NA,NA,9999,9999,0,0,0,0,4226,5,4,4,70,/tmp/axvisor-rtbench-entry-cache-reverted-final-r1.log,-335456,-330288,0,0,0,0,4226000,-997504,2016,4559744,default,pass,NA,NA,NA,NA,
45,baremetal-qemu-r1-idle,baremetal,single_guest_baremetal_idle,0,62500000,true,NA,9999,9999,0,0,0,0,0,0,0,0,30,/tmp/axvisor-rtbench-baremetal-r1.log,-224352,-222624,0,0,0,0,-168592,-220432,672,220432,baremetal_tcg,not_applicable,0,51696,0,0,
46,baremetal-qemu-r1-load,baremetal,single_guest_baremetal_low_prio_load,0,62500000,true,NA,9999,9999,0,0,0,0,14,0,0,0,30,/tmp/axvisor-rtbench-baremetal-r1.log,-22208,-20944,0,0,0,9344,14272,-35440,384,35440,baremetal_tcg,not_applicable,9344,15440,0,0,
47,baremetal-qemu-r2-idle,baremetal,single_guest_baremetal_idle,0,62500000,true,NA,9999,9999,0,0,0,0,0,0,0,0,30,/tmp/axvisor-rtbench-baremetal-r2.log,-223040,-220752,0,0,0,0,-159488,-219232,656,219232,baremetal_tcg,not_applicable,0,50912,0,0,
48,baremetal-qemu-r2-load,baremetal,single_guest_baremetal_low_prio_load,0,62500000,true,NA,9999,9999,0,0,0,2,17,0,0,0,30,/tmp/axvisor-rtbench-baremetal-r2.log,-19248,-17792,0,0,2400,16960,17136,-32240,480,34496,baremetal_tcg,not_applicable,16960,16528,0,0,
49,baremetal-qemu-r3-idle,baremetal,single_guest_baremetal_idle,0,62500000,true,NA,9999,9999,0,0,0,0,0,0,0,0,30,/tmp/axvisor-rtbench-baremetal-r3.log,-214192,-211648,0,0,0,0,-165712,-208544,544,208544,baremetal_tcg,not_applicable,0,49184,0,0,
50,baremetal-qemu-r3-load,baremetal,single_guest_baremetal_low_prio_load,0,62500000,true,NA,9999,9999,0,0,0,6,19,0,0,0,30,/tmp/axvisor-rtbench-baremetal-r3.log,-20864,-18192,0,0,6960,14112,19840,-38816,912,38816,baremetal_tcg,not_applicable,14112,15344,0,0,
51,one-linux-one-rtos-r1,passthrough,one_linux_one_rtos_network_tick10k_no_poll,2,62500000,NA,NA,9999,9999,0,0,0,0,403,1,0,0,70,/tmp/axvisor-rtbench-one-linux-one-rtos-r1.log,-175120,-171536,0,0,0,0,403328,-577328,1392,577328,default,pass_partial_network,0,50592,0,0,
52,one-linux-one-rtos-r2,passthrough,one_linux_one_rtos_network_tick10k_no_poll,2,62500000,NA,NA,9999,9999,0,0,0,0,180,2,0,0,70,/tmp/axvisor-rtbench-one-linux-one-rtos-r2.log,-178400,-174816,0,0,0,0,180224,-350080,800,357136,default,pass_partial_network,113488,52848,0,0,
53,one-linux-one-rtos-r3,passthrough,one_linux_one_rtos_network_tick10k_no_poll,2,62500000,NA,NA,9999,9999,0,0,0,0,13,0,0,0,70,/tmp/axvisor-rtbench-one-linux-one-rtos-r3.log,-180864,-177056,0,0,0,0,13792,-189120,800,189120,default,pass_partial_network,0,50256,0,0,
54,low-overhead-measurement-r1,passthrough,three_guest_network_tick10k_no_poll_low_overhead,2,62500000,NA,NA,9999,9999,0,0,0,0,1004,1,1,1,70,/tmp/axvisor-rtbench-low-overhead-r1.log,-182448,-175408,0,0,0,0,1004032,-986368,3760,1179888,default,failed_initramfs,48704,24928,0,0,
55,low-overhead-measurement-r2,passthrough,three_guest_network_tick10k_no_poll_low_overhead,2,62500000,NA,NA,9999,9999,0,0,0,0,1312,3,1,1,70,/tmp/axvisor-rtbench-low-overhead-r2.log,-243376,-238960,0,0,0,0,1312096,-997888,1440,1552928,default,pass,314208,16416,0,0,
56,low-overhead-measurement-r3,passthrough,three_guest_network_tick10k_no_poll_low_overhead,2,62500000,NA,NA,9999,9999,0,0,0,0,96,0,0,0,70,/tmp/axvisor-rtbench-low-overhead-r3.log,-224496,-220832,0,0,0,0,96992,-311248,960,311248,default,pass,19472,19968,0,0,
57,no-ic-iallu-r1,passthrough,three_guest_network_tick10k_no_poll_no_ic_iallu,2,62500000,NA,NA,9999,9999,0,0,0,0,8383,10,8,8,70,/tmp/axvisor-rtbench-no-ic-iallu-r1.log,-187952,-179920,0,0,0,0,8383968,-997504,2688,8539344,default,pass,7401600,40736,0,0,
58,no-ic-iallu-r2,passthrough,three_guest_network_tick10k_no_poll_no_ic_iallu,2,62500000,NA,NA,9999,9999,0,0,0,0,77,0,0,0,70,/tmp/axvisor-rtbench-no-ic-iallu-r2.log,-478560,-474832,0,0,0,0,77472,-552592,928,554896,default,pass,0,46576,0,0,
59,no-ic-iallu-r3,passthrough,three_guest_network_tick10k_no_poll_no_ic_iallu,2,62500000,NA,NA,9999,9999,0,0,0,0,104,1,0,0,70,/tmp/axvisor-rtbench-no-ic-iallu-r3.log,-187488,-184000,0,0,0,0,104624,-288192,1120,288192,default,pass,27552,19152,0,0,
60,inline-external-irq-r1,passthrough,three_guest_network_tick10k_no_poll_inline_external_irq,2,62500000,NA,NA,9999,9999,0,0,0,5000,53507,64,62,60,70,/tmp/axvisor-rtbench-irq-inline-r1.log,-193168,-39952,0,0,0,43523248,53507232,-999120,13488,53671424,default,pass,52514592,17024,0,0,
61,inline-external-irq-r2,passthrough,three_guest_network_tick10k_no_poll_inline_external_irq,2,62500000,NA,NA,9999,9999,0,0,0,0,855,1,1,0,70,/tmp/axvisor-rtbench-irq-inline-r2.log,-194368,-190496,0,0,0,0,855328,-996096,1152,1042960,default,pass_after_retry,98240,29008,0,0,
62,inline-external-irq-r3,passthrough,three_guest_network_tick10k_no_poll_inline_external_irq,2,62500000,NA,NA,9999,9999,0,0,0,0,4558,5,5,4,70,/tmp/axvisor-rtbench-irq-inline-r3.log,-217536,-211616,0,0,0,0,4558512,-998160,1872,4770400,default,pass,3565312,41584,0,0,
63,axvisor-single-rtos-r1-idle,passthrough,single_guest_axvisor_idle,2,62500000,true,NA,9999,9999,0,0,0,0,0,0,0,0,75,/tmp/axvisor-rtbench-single-fdt-fixed-r1.log,-212784,-208800,0,0,0,0,-166448,-208400,800,208400,default,not_applicable,0,49440,0,0,
64,axvisor-single-rtos-r1-load,passthrough,single_guest_axvisor_low_prio_load,2,62500000,true,NA,9999,9999,0,0,0,0,0,0,0,0,75,/tmp/axvisor-rtbench-single-fdt-fixed-r1.log,-44992,-43024,0,0,0,0,-6272,-38928,1216,38928,default,not_applicable,0,10352,0,0,
65,axvisor-single-rtos-r2-idle,passthrough,single_guest_axvisor_idle,2,62500000,true,NA,9999,9999,0,0,0,0,0,0,0,0,75,/tmp/axvisor-rtbench-single-fdt-fixed-r2.log,-212256,-208912,0,0,0,0,-169152,-208480,752,208480,default,not_applicable,0,48800,0,0,
66,axvisor-single-rtos-r2-load,passthrough,single_guest_axvisor_low_prio_load,2,62500000,true,NA,9999,9999,0,0,0,0,16,0,0,0,75,/tmp/axvisor-rtbench-single-fdt-fixed-r2.log,-24480,-22640,0,0,0,0,16112,-38768,960,38768,default,not_applicable,11104,2688,0,0,
67,axvisor-single-rtos-r3-idle,passthrough,single_guest_axvisor_idle,2,62500000,true,NA,9999,9999,0,0,0,0,0,0,0,0,75,/tmp/axvisor-rtbench-single-fdt-fixed-r3.log,-412176,-408736,0,0,0,0,-348880,-402640,672,402640,default,not_applicable,0,79424,0,0,
68,axvisor-single-rtos-r3-load,passthrough,single_guest_axvisor_low_prio_load,2,62500000,true,NA,9999,9999,0,0,0,2,17,0,0,0,75,/tmp/axvisor-rtbench-single-fdt-fixed-r3.log,-22416,-20592,0,0,0,2368,17200,-28960,624,36128,default,not_applicable,10672,2096,0,0,
69,final-fdt-three-guest-smoke,passthrough,three_guest_network_tick10k_no_poll_final_fdt_smoke,2,62500000,NA,NA,9999,9999,0,0,0,0,1181,5,1,1,120,/tmp/axvisor-rtbench-final-fdt-smoke.log,-173616,-169296,0,0,0,0,1181936,-998864,1408,1353344,default,pass_after_retry,367488,15968,0,0,
70,sched-rr-r1,passthrough,three_guest_network_tick10k_no_poll_sched_rr_rejected,2,62500000,NA,NA,9999,9999,0,0,0,0,810,1,1,0,120,/tmp/axvisor-rtbench-sched-rr-r1.log,-173360,-169936,0,0,0,0,810448,-971952,1216,972544,default,pass_after_retry,95600,28992,0,0,
71,sched-rr-r2,passthrough,three_guest_network_tick10k_no_poll_sched_rr_rejected,2,62500000,NA,NA,9999,9999,0,0,0,0,753,2,1,0,120,/tmp/axvisor-rtbench-sched-rr-r2.log,-180368,-176688,0,0,0,0,753776,-930304,1088,931264,default,pass_after_retry,359328,15872,0,0,
72,sched-rr-r3,passthrough,three_guest_network_tick10k_no_poll_sched_rr_rejected,2,62500000,NA,NA,9999,9999,0,0,0,0,54,0,0,0,120,/tmp/axvisor-rtbench-sched-rr-r3.log,-198144,-194624,0,0,0,0,54432,-250736,800,250736,default,pass_after_retry,0,18256,0,0,
73,irq-fetch-no-duplicate-r1,passthrough,three_guest_network_tick10k_no_poll_irq_fetch_candidate,2,62500000,NA,NA,9999,9999,0,0,0,0,437,1,0,0,140,/tmp/axvisor-rtbench-irq-fetch-r1.log,-180976,-176960,0,0,0,0,437232,-616848,1120,616848,default,pass_after_retry,43120,23024,0,0,
74,irq-fetch-no-duplicate-r2,passthrough,three_guest_network_tick10k_no_poll_irq_fetch_candidate,2,62500000,NA,NA,9999,9999,0,0,0,0,1,0,0,0,100,/tmp/axvisor-rtbench-irq-fetch-r2.log,-188592,-185056,0,0,0,0,1040,-184048,848,184048,default,pass_after_retry,0,16144,0,0,
75,irq-fetch-no-duplicate-r3,passthrough,three_guest_network_tick10k_no_poll_irq_fetch_candidate,2,62500000,NA,NA,9999,9999,0,0,0,0,484,1,0,0,100,/tmp/axvisor-rtbench-irq-fetch-r3.log,-283520,-279440,0,0,0,0,484160,-766224,1296,766224,default,pass,94848,25376,0,0,
76,host-tick10k-r1,passthrough,three_guest_network_tick10k_no_poll_host_tick10k,2,62500000,NA,NA,9999,9999,0,0,0,0,633,2,1,0,95,/tmp/axvisor-rtbench-host-tick10k-r1.log,-191872,-187632,0,0,0,0,633424,-825296,1264,825296,default,pass_after_retry,319904,15728,0,0,
77,host-tick10k-r2,passthrough,three_guest_network_tick10k_no_poll_host_tick10k,2,62500000,NA,NA,9999,9999,0,0,0,0,904,1,1,0,95,/tmp/axvisor-rtbench-host-tick10k-r2.log,-193168,-188368,0,0,0,0,904320,-997520,1376,1085072,default,pass_after_retry,12880,27008,0,0,
78,host-tick10k-r3,passthrough,three_guest_network_tick10k_no_poll_host_tick10k,2,62500000,NA,NA,9999,9999,0,0,0,0,292,2,0,0,95,/tmp/axvisor-rtbench-host-tick10k-r3.log,-175248,-171680,0,0,0,0,292304,-465664,1104,465664,default,pass,111728,16096,0,0,
79,fifo-oneshot-startup-failed,passthrough,three_guest_network_tick10k_no_poll_fifo_oneshot_candidate,2,62500000,NA,NA,0,9999,NA,NA,NA,NA,NA,NA,NA,NA,95,/tmp/axvisor-rtbench-fifo-oneshot-r1.log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,failed_startup,NA,NA,NA,NA,
80,external-deadline-provider-r1,passthrough,three_guest_network_tick10k_no_poll_external_deadline_provider,2,62500000,NA,NA,9999,9999,0,0,0,1111,3770,32,21,11,90,/tmp/axvisor-rtbench-deadline-provider-r1.log,-181328,-171712,0,0,0,3098288,3770752,-999008,6704,3949520,default,pass,3098288,42032,0,0,
81,external-deadline-provider-r2,passthrough,three_guest_network_tick10k_no_poll_external_deadline_provider,2,62500000,NA,NA,9999,9999,0,0,0,0,224,1,0,0,75,/tmp/axvisor-rtbench-deadline-provider-r2.log,-174768,-171328,0,0,0,0,224736,-375616,848,395424,default,pass,0,15808,0,0,
82,external-deadline-provider-r3,passthrough,three_guest_network_tick10k_no_poll_external_deadline_provider,2,62500000,NA,NA,9999,9999,0,0,0,5000,18068,26,23,21,75,/tmp/axvisor-rtbench-deadline-provider-r3.log,-180144,-156048,0,0,0,17072272,18068448,-998656,6592,18241936,default,pass,17072272,36800,0,0,
83,tcg-multi-r4,passthrough,three_guest_network_tick10k_no_poll_tcg_multi,2,62500000,NA,NA,9999,9999,0,0,0,0,633,1,1,0,95,/tmp/axvisor-rtbench-tcg-multi-r4.log,-192272,-188656,0,0,0,0,633088,-807248,1008,822544,tcg_multi,rejected,0,15824,0,0,
84,tcg-tb512-r1,passthrough,three_guest_network_tick10k_no_poll_tcg_tb512,2,62500000,NA,NA,9999,9999,0,0,0,5000,45843,49,47,45,100,/tmp/axvisor-rtbench-tcg-tb512-r1.log,-191968,-80304,0,0,0,35862944,45843984,-999056,10576,46028400,tcg_tb512,rejected,44847376,38128,0,0,
85,tcg-tb512-r2,passthrough,three_guest_network_tick10k_no_poll_tcg_tb512,2,62500000,NA,NA,9999,9999,0,0,0,5000,33514,36,35,33,100,/tmp/axvisor-rtbench-tcg-tb512-r2.log,-195616,-133776,0,0,0,23550672,33514208,-999056,7952,33704896,tcg_tb512,rejected,32531104,16928,0,0,
86,tcg-tb512-r3,passthrough,three_guest_network_tick10k_no_poll_tcg_tb512,2,62500000,NA,NA,9999,9999,0,0,0,0,663,6,3,0,100,/tmp/axvisor-rtbench-tcg-tb512-r3.log,-185712,-180848,0,0,0,0,663424,-845824,1936,845824,tcg_tb512,rejected,537008,27232,0,0,
87,irq-trace-pcpu2-startup-failed,passthrough,three_guest_network_tick10k_no_poll_irq_trace,2,62500000,NA,NA,9999,9999,0,0,0,0,1078,3,1,1,100,/tmp/axvisor-rtbench-irqtrace-r1.log,-200512,-196528,0,0,0,0,1078448,-987920,1248,1246000,default,failed_initramfs,246160,63872,0,0,
