source	source_root	branch	commit	tracked	original_path	phase	type	date	date_source	size	sha256	archived_path
tgoskits	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	cbf9f8b31c4844d8cf14faf5c41e3c9df3bca3d0	true	docs/docs/build/axvisor/v12-virt-test1.log	task12	evidence	2026-08-14	git_commit	43304	72fcaaf4704cb21e2fe0bd817950e1c552e9234410792badda327eef3654b2cc	task12/evidence/2026-08-14/tgoskits/docs/docs/build/axvisor/v12-virt-test1.log
tgoskits	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	cbf9f8b31c4844d8cf14faf5c41e3c9df3bca3d0	true	docs/docs/build/axvisor/v13-benchmark-run.log	task12	evidence	2026-08-14	git_commit	117960	f66dda158a0c9bd98db3627a530286f44f1b99a56f3bedfa04ac47e9c27ab8bc	task12/evidence/2026-08-14/tgoskits/docs/docs/build/axvisor/v13-benchmark-run.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task1-2026-08-15-busy-idle-300s-cpu.log	task12	evidence	2026-08-15	filename	216245	4f24e19906e400f22c875855c54b980f8680ccf8bb24a1203730e1a8324aa30f	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task1-2026-08-15-busy-idle-300s-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task1-2026-08-15-busy-idle-300s-pass-cpu.log	task12	evidence	2026-08-15	filename	411260	2c1edef462a502c82f75a86d813ca3c2087f467d0aaf18895c243db56b186d75	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task1-2026-08-15-busy-idle-300s-pass-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task1-2026-08-15-busy-smoke-10s-cpu.log	task12	evidence	2026-08-15	filename	13597	557f49ee8f7e08e3ff916418bfa5d0745ca6053150c38c204f72181967f78e05	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task1-2026-08-15-busy-smoke-10s-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task1-2026-08-15-idle-300s-cpu.log	task12	evidence	2026-08-15	filename	292585	a8272cd04d99c6cd3bac71bdee78d140642b0806e35930f23722f516a57f4652	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task1-2026-08-15-idle-300s-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task1-2026-08-15-native-300s-cpu.log	task12	evidence	2026-08-15	filename	121355	f4bb6c1b861916ba8387905ba5644c06f88909348aabb3639440a6766e7fe4bd	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task1-2026-08-15-native-300s-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task1-2026-08-15-native-hard-timer-300s-failed-cpu.log	task12	evidence	2026-08-15	filename	120555	ea8c921bef967f2ee41048a5d76b83ec518625f6dd7398e4e888d6ad2bbcac13	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task1-2026-08-15-native-hard-timer-300s-failed-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task1-2026-08-15-native-hard-timer-uclamp-300s-failed-cpu.log	task12	evidence	2026-08-15	filename	120555	2b6314afbd2d7214e50661e103e5e0a59152651fa18ef89e902b4b6a11e13a78	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task1-2026-08-15-native-hard-timer-uclamp-300s-failed-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task1-2026-08-15-rtbench-suite-1000-pass-cpu.log	task12	evidence	2026-08-15	filename	14985	ef7d41c6b95aff185e0ec31feaba2fedcbd8fe62587d453a5c4b698f79c11a29	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task1-2026-08-15-rtbench-suite-1000-pass-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-after-rtipc-10s-pass-cpu.log	task12	evidence	2026-08-15	filename	13597	2d36112016f25f7583e8e69b25d760dc934d34a7b583956d43fad4d57c498fcc	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-after-rtipc-10s-pass-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-busy-no-yield-concurrent-10s-cpu.log	task12	evidence	2026-08-15	filename	14985	d6ab68eb84ebc062e497adb8363d5947bf12afbc104d8fb49e9676ac92ae3068	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-busy-no-yield-concurrent-10s-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-concurrent-300s-failed-cpu.log	task12	evidence	2026-08-15	filename	232207	e18b7cf7e4050722c65a7f2ba28816db4836eec84a04fd8064ce4f8fa1ee0add	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-concurrent-300s-failed-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-concurrent-calibration-30s-cpu.log	task12	evidence	2026-08-15	filename	28171	c19c8d81c15f7ee01ee6297e2d62a3b111dafeae6d2f3664287b313d734c4742	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-concurrent-calibration-30s-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-done-smoke-10s-failed-cpu.log	task12	evidence	2026-08-15	filename	96877	e537f7b079078f895bc29423ab84cd6b9a09b5e06f23afa769f2a3fa6b523195	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-done-smoke-10s-failed-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-done-smoke-10s-repeat-failed-cpu.log	task12	evidence	2026-08-15	filename	10127	aeaa00f2161fa6d58696a1b87da9c989df02bcb503fa08d37a23c610fc599230	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-done-smoke-10s-repeat-failed-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-final-clean-concurrent-300s-30k-failed-cpu.log	task12	evidence	2026-08-15	filename	288421	d4cd2b4452ed66d29922014c99ab73f53d00f0f5e29e9967bd41fc576d7714f3	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-final-clean-concurrent-300s-30k-failed-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-final-clean-smoke-10s-failed-cpu.log	task12	evidence	2026-08-15	filename	16373	6f87bf051d83ceb76678ce214171d3637d95d00b12149775c725abd626ec3679	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-final-clean-smoke-10s-failed-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-final-protocol-concurrent-300s-30k-cpu.log	task12	evidence	2026-08-15	filename	332143	d46c6aba3f31f09153dd62635f6ceffe5235dddee6f3223f73b19b11086f19e7	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-final-protocol-concurrent-300s-30k-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-hard-timer-concurrent-10s-failed-cpu.log	task12	evidence	2026-08-15	filename	14291	170682b0341313dbb28610ad08f8a236e7890315d7cea559e0bdfeaa4325ac9e	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-hard-timer-concurrent-10s-failed-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-hard-timer-threshold-qemu-diag-10s-failed-cpu.log	task12	evidence	2026-08-15	filename	13597	9cd51c1c8b33e1cc6ed1dc76f64e606659e4c260e99ead18ae5872a03a7354f6	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-hard-timer-threshold-qemu-diag-10s-failed-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-hard-timer-uclamp-max-concurrent-10s-pass-cpu.log	task12	evidence	2026-08-15	filename	16885	bf620f3c357a557b7c6399b004c570142dbaa3e8ad5973f4c1eb4ba004b0ddc2	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-hard-timer-uclamp-max-concurrent-10s-pass-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-host-all-thread-affinity-10s-failed-cpu.log	task12	evidence	2026-08-15	filename	12903	0d209197eca02d1ff2d4898b9e648df364e34f39e3dbdd1ccfca01839adb22d7	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-host-all-thread-affinity-10s-failed-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-host-rt-tcg-affinity-10s-failed-cpu.log	task12	evidence	2026-08-15	filename	12209	76fe3ba9a302474a6ea7e948fccd22a31b696e18c3660e5b90b52cb7b8773e59	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-host-rt-tcg-affinity-10s-failed-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-native-concurrent-smoke-10s-cpu.log	task12	evidence	2026-08-15	filename	11515	e7fd0350ddcdaddcf6ad4004009059099d778516ec0af61975fcce159c55e6c5	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-native-concurrent-smoke-10s-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-post-protocol-smoke-10s-cpu.log	task12	evidence	2026-08-15	filename	16373	dc2472b589b267b1862b199e2b863a330fcf278e62a96a0904c76e55a104a423	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-post-protocol-smoke-10s-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-reduced-qemu-diag-10s-failed-cpu.log	task12	evidence	2026-08-15	filename	12209	cc0144b78343a3e7a9d7945bcaf67a4e704a64356eb839e5b29fe9f04a62a267	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-reduced-qemu-diag-10s-failed-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-runner-uclamp-hard-timer-after-rtipc-30s-failed-cpu.log	task12	evidence	2026-08-15	filename	33723	c2e07a22f2f00f180a08d65dab2a25b446544b818bb04c23a8821afb66968ac4	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-runner-uclamp-hard-timer-after-rtipc-30s-failed-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-runner-uclamp-hard-timer-concurrent-10s-pass-cpu.log	task12	evidence	2026-08-15	filename	14985	e5f7185c9e5bc92214afbe2dd369f0dea749744f03b28dfb9ce77f67fece565c	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-runner-uclamp-hard-timer-concurrent-10s-pass-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-runner-uclamp-hard-timer-concurrent-300s-30k-pass-cpu.log	task12	evidence	2026-08-15	filename	244699	3e16c3e93524646d4aea0fbcc9f2b2333ed1379d9c8c04e7a2c6832e07a40f70	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-runner-uclamp-hard-timer-concurrent-300s-30k-pass-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-runner-uclamp-hard-timer-concurrent-300s-30k-pass.log	task12	evidence	2026-08-15	filename	526085	5fc90e640fda8885d0fd2f2cadb269b77f67e8502670a0ab50fb7fb1c81f521e	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-runner-uclamp-hard-timer-concurrent-300s-30k-pass.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-runner-uclamp-hard-timer-concurrent-300s-failed-cpu.log	task12	evidence	2026-08-15	filename	212775	32305494a302d9f8018e6dd6a77e12219b715c262dd354be0d3c4b8a0ec8c4ec	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-runner-uclamp-hard-timer-concurrent-300s-failed-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-runner-uclamp-hard-timer-concurrent-30s-failed-cpu.log	task12	evidence	2026-08-15	filename	24007	96a4bef690e28849e066db06d0ae7f60000f9f5a8af8c84e6d0054e761afd679	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-runner-uclamp-hard-timer-concurrent-30s-failed-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-sample-wait-concurrent-10s-pass-cpu.log	task12	evidence	2026-08-15	filename	10127	7709b6915cd46bef371bd563977722aae47d1cbb50a58d5b0deaf7d7aedc0b6e	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-sample-wait-concurrent-10s-pass-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-threshold-qemu-diag-soft-timer-10s-failed-cpu.log	task12	evidence	2026-08-15	filename	12209	10c8c1917aab30abc5e82a26acfda00acf4d12fadca2e2d697c2446ce79abe4e	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-threshold-qemu-diag-soft-timer-10s-failed-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-tlbi-exclusive-diag-10s-failed-cpu.log	task12	evidence	2026-08-15	filename	13597	c2a635503f4576e12be78447ca763c7baaefaf52aabcd00bc8471db2e60779d0	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-tlbi-exclusive-diag-10s-failed-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-2026-08-15-vm-scoped-tlbi-concurrent-10s-failed-cpu.log	task12	evidence	2026-08-15	filename	13205	962553f59d308ac06faf7c13b4eee42c20f7b720c45a6da1d0b345b3136c3d61	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-2026-08-15-vm-scoped-tlbi-concurrent-10s-failed-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-busy-wfi-fast-v10-host-affinity-300s-affinity.log	task12	evidence	2026-08-15	filesystem_mtime	198	c784a780f5c22838ea2bdf9eba994eac6dead104c18076799e61b7f268cf9317	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-busy-wfi-fast-v10-host-affinity-300s-affinity.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-busy-wfi-fast-v10-host-affinity-300s-artifacts.log	task12	evidence	2026-08-15	filesystem_mtime	1742	fa1dbc078b0a3fd3f5de9ab4750e36dfb5d4160c64ca7de47880cc530fec7b87	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-busy-wfi-fast-v10-host-affinity-300s-artifacts.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-busy-wfi-fast-v10-host-affinity-300s-cpu.log	task12	evidence	2026-08-15	filesystem_mtime	264131	3e56336e4be4baa6d868c4c54d99d2820e3dc99e676b09060a3701ba76cb3e3b	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-busy-wfi-fast-v10-host-affinity-300s-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-busy-wfi-fast-v10-host-affinity-smoke-10s-artifacts.log	task12	evidence	2026-08-15	filesystem_mtime	1742	1488a85b26bb9b90f38a3d563bff15b2bcfe67fbed8908356ca1fd8b926787c6	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-busy-wfi-fast-v10-host-affinity-smoke-10s-artifacts.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-busy-wfi-fast-v10-host-affinity-smoke-10s-cpu.log	task12	evidence	2026-08-15	filesystem_mtime	19149	171b82e558b2ea39515214047f3b48e13a75a990a4e0b3e2d6e69fc1fe2fc5ff	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-busy-wfi-fast-v10-host-affinity-smoke-10s-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-busy-wfi-fast-v8-300s-artifacts.log	task12	evidence	2026-08-15	filesystem_mtime	1728	20fbe8ab68c075d9664d29e7e8a33b5bccac6bc936d66b5b0a4e67ff48d5f28e	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-busy-wfi-fast-v8-300s-artifacts.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-busy-wfi-fast-v8-300s-cpu.log	task12	evidence	2026-08-15	filesystem_mtime	307159	09cad3f05c8042d410d786c4f1c0506ff3793854057cd627e1185d555e1b16ad	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-busy-wfi-fast-v8-300s-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-busy-wfi-fast-v8-smoke-10s-artifacts.log	task12	evidence	2026-08-15	filesystem_mtime	1728	7c5e1bf77c2b0b3edfc0163f6e277a69bfb654ba7fbb10808db449ee3372eebc	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-busy-wfi-fast-v8-smoke-10s-artifacts.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-busy-wfi-fast-v8-smoke-10s-cpu.log	task12	evidence	2026-08-15	filesystem_mtime	21231	cd79922bded85438aeb7a89166add72731547ce09d5675e518e960cf3e108c77	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-busy-wfi-fast-v8-smoke-10s-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-busy-wfi-fast-v9-host-affinity-smoke-10s-artifacts.log	task12	evidence	2026-08-15	filesystem_mtime	1728	5c4f00a3d0ec9e2822e83e750b83c8c38057acffdcce3d35deaf311c5b0e96f4	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-busy-wfi-fast-v9-host-affinity-smoke-10s-artifacts.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-busy-wfi-fast-v9-host-affinity-smoke-10s-cpu.log	task12	evidence	2026-08-15	filesystem_mtime	19843	0cf59e32cc1d7f9b2d92cb054d92a6e090c9795462b0bcd723a742967d92e0a6	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-busy-wfi-fast-v9-host-affinity-smoke-10s-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-busy-wfi-v7-smoke-10s-artifacts.log	task12	evidence	2026-08-15	filesystem_mtime	1728	4de3bd90941049499a48ee662e65f88cdae18cabac253022a1426805afdd866e	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-busy-wfi-v7-smoke-10s-artifacts.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-busy-wfi-v7-smoke-10s-cpu.log	task12	evidence	2026-08-15	filesystem_mtime	18455	aef854b0c9d1a439c608433b71ccd110535d36970b9f2bcf3fdd89a36beecb95	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-busy-wfi-v7-smoke-10s-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-qemu-boundary-300s-artifacts.log	task12	evidence	2026-08-15	filesystem_mtime	1728	ec15843534f1784fcd595b6b8ab39230361f66333b88437b827b35cf2ebb8061	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-qemu-boundary-300s-artifacts.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-qemu-boundary-300s-cpu.log	task12	evidence	2026-08-15	filesystem_mtime	61484	429ab884f647eb8ca4dceef41e36f42b35dc8feb89683daa9e94dc61a978fe34	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-qemu-boundary-300s-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-qemu-boundary-smoke-10s-artifacts.log	task12	evidence	2026-08-15	filesystem_mtime	1728	24756f645ee74efeb729ff5716ba3d0ee21c711b5f090d8f7d6bea60ae5b649e	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-qemu-boundary-smoke-10s-artifacts.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-qemu-boundary-smoke-10s-cpu.log	task12	evidence	2026-08-15	filesystem_mtime	17761	997053f11986e22c578b16d368028356b74eb2a504c37c401f89c9aa6733cf74	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-qemu-boundary-smoke-10s-cpu.log
tgoskits-untracked-logs	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	645ec0355221f9d4bd22ee995607b0761c09395e	false	docs/docs/build/axvisor/task12-qemu-boundary-v2-300s-artifacts.log	task12	evidence	2026-08-15	filesystem_mtime	1728	eb886e44cbbc62ee81aa6e9957bb57f6d4212158c4dcc62390cb87fe31de81e4	task12/evidence/2026-08-15/tgoskits-untracked-logs/docs/docs/build/axvisor/task12-qemu-boundary-v2-300s-artifacts.log
